TEAM_ID,DLEAGUEAFFILIATION
1610612737,Erie Bayhawks
1610612738,Maine Red Claws
1610612740,
1610612741,Windy City Bulls
1610612742,Texas Legends
1610612743,
1610612745,Rio Grande Valley Vipers
1610612746,Agua Caliente Clippers of Ontario
1610612747,South Bay Lakers
1610612748,Sioux Falls Skyforce
1610612749,Wisconsin Herd
1610612750,Iowa Wolves
1610612751,Long Island Nets
1610612752,Westchester Knicks
1610612753,Lakeland Magic
1610612754,Fort Wayne Mad Ants
1610612755,Delaware Blue Coats
1610612756,Northern Arizona Suns
1610612757,
1610612758,Stockton Kings
1610612759,Austin Spurs
1610612760,Oklahoma City Blue
1610612761,Raptors 905
1610612762,Salt Lake City Stars
1610612763,Memphis Hustle
1610612764,Capital City Go-Go
1610612765,Grand Rapids Drive
1610612766,Greensboro Swarm
1610612739,Canton Charge
1610612744,Santa Cruz Warriors