TEAM_ID,ARENA
1610612737,State Farm Arena
1610612738,TD Garden
1610612740,Smoothie King Center
1610612741,United Center
1610612742,American Airlines Center
1610612743,Pepsi Center
1610612745,Toyota Center
1610612746,Staples Center
1610612747,Staples Center
1610612748,AmericanAirlines Arena
1610612749,Fiserv Forum
1610612750,Target Center
1610612751,Barclays Center
1610612752,Madison Square Garden
1610612753,Amway Center
1610612754,Bankers Life Fieldhouse
1610612755,Wells Fargo Center
1610612756,Talking Stick Resort Arena
1610612757,Moda Center
1610612758,Golden 1 Center
1610612759,AT&T Center
1610612760,Chesapeake Energy Arena
1610612761,Scotiabank Arena
1610612762,Vivint Smart Home Arena
1610612763,FedExForum
1610612764,Capital One Arena
1610612765,Little Caesars Arena
1610612766,Spectrum Center
1610612739,Quicken Loans Arena
1610612744,Chase Center