TEAM_ID,OWNER
1610612737,Tony Ressler
1610612738,Wyc Grousbeck
1610612740,Tom Benson
1610612741,Jerry Reinsdorf
1610612742,Mark Cuban
1610612743,Stan Kroenke
1610612745,Tilman Fertitta
1610612746,Steve Ballmer
1610612747,Jerry Buss Family Trust
1610612748,Micky Arison
1610612749,Wesley Edens & Marc Lasry
1610612750,Glen Taylor
1610612751,Joe Tsai
1610612752,Cablevision (James Dolan)
1610612753,Rick DeVos
1610612754,Herb Simon
1610612755,Joshua Harris
1610612756,Robert Sarver
1610612757,Paul Allen
1610612758,Vivek Ranadive
1610612759,Peter Holt
1610612760,Clay Bennett
1610612761,Maple Leaf Sports and Entertainment
1610612762,Greg Miller
1610612763,Robert Pera
1610612764,Ted Leonsis
1610612765,Tom Gores
1610612766,Michael Jordan
1610612739,Dan Gilbert
1610612744,Joe Lacob